;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
241;Eo;290;-7.25;43.75;1804;11.1922182;14.18814457;18.59494666;14.03218772
242;Escaut;55;4.25;51.25;1804;4.440815319;13.06289303;18.43088693;8.060631954
243;Esva;281;-6.25;43.75;1804;11.1922182;14.18814457;18.59494666;14.03218772
244;Garonne;60;-0.75;45.25;1804;7.51587284;15.05742853;20.7118669;10.11161943
245;Glomma;62;11.25;59.75;1804;-4.918642911;9.0286819;15.39473193;0.139831543
246;Guadalquivir;67;-6.25;37.25;1804;10.32131033;18.05650561;25.90169363;13.50355484
247;Guadiana;68;-7.25;37.25;1804;14.05715388;18.58301706;23.99671705;17.19185754
248;Lagen;82;10;59.25;1804;-5.519149318;6.532294996;13.67980865;-0.276583585
249;Landro;315;-7.75;43.75;1804;11.1922182;14.18814457;18.59494666;14.03218772
250;Lay;84;-1.25;46.25;1804;7.566385905;14.15767693;19.49963749;10.54699707
251;Leff;85;-3.25;48.75;1804;6.987771699;12.50595925;17.39588512;10.01198971
252;Leguer;86;-3.25;48.75;1804;8.606478604;12.90419885;17.49279323;11.68520008
253;Lerez;314;-8.75;42.25;1804;8.835502856;12.93660482;17.83156794;11.34443988
254;Leyre;87;-0.75;44.75;1804;10.8478634;16.13125055;21.18066684;13.69873417
255;Lima;88;-8.75;41.75;1804;9.699079109;14.340861;19.89746094;12.23048817
256;Loire;89;-1.75;47.25;1804;7.566385905;14.15767693;19.49963749;10.54699707
257;Mandeo;313;-8.25;43.25;1804;11.75158321;14.37333818;18.59331258;14.51383556
258;Masma;312;-7.25;43.75;1804;11.1922182;14.18814457;18.59494666;14.03218772
259;Meuse;96;5.5;51.75;1804;4.440815319;13.06289303;18.43088693;8.060631954
260;Minho;98;-8.25;42.25;1804;9.699079109;14.340861;19.89746094;12.23048817
261;Mondego;100;-8.25;41.25;1804;10.67191199;15.79515862;21.74330648;13.3003725
262;Nalon_Narcea;278;-6.25;43.75;1804;11.29150021;14.39355376;18.89823128;14.25630327
263;Nansa;292;-4.25;43.25;1804;4.283385306;10.24005774;15.1464742;6.7069286
264;Navia;103;-6.25;43.25;1804;11.1922182;14.18814457;18.59494666;14.03218772
265;Nervion;286;-3.25;43.25;1804;5.127417362;11.26612623;16.1364071;7.405676639
266;Nivelle;110;-1.75;43.25;1804;4.792089289;11.55380804;16.6441151;7.156072443
267;Odet;112;-4.25;48.25;1804;8.606478604;12.90419885;17.49279323;11.68520008
268;Oria;285;-2.25;43.25;1804;5.127417362;11.26612623;16.1364071;7.405676639
269;Orne;116;-0.25;49.25;1804;6.758378462;12.95171287;18.22304281;10.38011031
270;Otra;117;7.75;58.25;1804;1.782507694;9.845048384;16.14298688;6.45211607
271;Pas;291;-3.75;43.25;1804;11.80496863;15.00991636;19.59674442;14.86858668
272;Rance;124;-1.75;48.75;1804;5.677861069;12.2919478;17.41498912;8.589176987
273;Rhine;125;5.5;51.75;1804;5.225951224;12.3341721;18.31437267;9.587588224
274;Sado;128;-8.75;38.25;1804;11.67256673;17.17756237;23.25135202;14.58092429
275;Scorff;133;-3.25;47.75;1804;6.987771699;12.50595925;17.39588512;10.01198971
276;Seine;136;0.75;49.25;1804;6.758378462;12.95171287;18.22304281;10.38011031
277;Sella;280;-5.25;43.25;1804;11.29150021;14.39355376;18.89823128;14.25630327
