lien;site;date;saison;p;Temp;Q;DL;deltaDL;deltaT;deltaQ;Temp1;Q1;DL1;deltaDL1;deltaT1;deltaQ1;juvenileSurvival
Garonne_2011;Garonne;2011-03-27;2011;0.589220120804384;0.382838283828383;0.477499651014399;0.544064672865879;0.674632352941168;0.647058823529412;0.272438771993168;12.1;5.90808293816893;12.4780555555556;0.0511111111111102;0.299999999999999;-0.0982702214328013;0.194239999182136
Garonne_2011;Garonne;2011-03-28;2011;0.286998916650191;0.392739273927393;0.483236037699374;0.551688028817961;0.670955882352944;0.647058823529412;0.316543426947157;12.4;5.93489419561959;12.5286111111111;0.0505555555555564;0.300000000000001;0.0268112574506567;0.20515525419289
Garonne_2011;Garonne;2011-03-29;2011;0.744008045643568;0.389438943894389;0.509815379700858;0.559395157912373;0.674632352941168;0.607843137254902;0.3508936437676;12.3;6.0591231955818;12.5797222222222;0.0511111111111102;-0.0999999999999996;0.124228999962209;0.219302269241668
Garonne_2011;Garonne;2011-03-30;2011;0.207130013033748;0.386138613861386;0.496938184200674;0.567018513864455;0.670955882352944;0.607843137254902;0.285867326837742;12.2;5.99893656194668;12.6302777777778;0.0505555555555564;-0.100000000000001;-0.060186633635114;0.246985181803589
Garonne_2011;Garonne;2011-03-31;2011;0.712557196849957;0.389438943894389;0.488822632027068;0.574683756387702;0.672794117647056;0.627450980392157;0.29371474953792;12.3;5.96100533962327;12.6811111111111;0.0508333333333333;0.100000000000001;-0.037931222323409;0.26621994421677
Garonne_2011;Garonne;2011-04-01;2011;0.390534535981715;0.396039603960396;0.525242197180033;0.582265225768619;0.66911764705882;0.637254901960784;0.367110816125454;12.5;6.13122648948314;12.7313888888889;0.0502777777777776;0.199999999999999;0.170221149859867;0.299825357710558
Garonne_2011;Garonne;2011-04-02;2011;0.944232722278684;0.415841584158416;0.52663302162393;0.5898885817207;0.670955882352944;0.676470588235294;0.309381726366746;13.1;6.13772705408623;12.7819444444444;0.0505555555555564;0.6;0.00650056460309312;0.320641499263697
Garonne_2011;Garonne;2011-04-03;2011;0.0803790176287293;0.432343234323432;0.505778384333203;0.597470051101617;0.66911764705882;0.666666666666667;0.272720109899627;13.6;6.04025471127741;12.8322222222222;0.0502777777777776;0.5;-0.0974723428088202;0.336158658330622
Garonne_2011;Garonne;2011-04-04;2011;0.761186842108145;0.429042904290429;0.507806403373757;0.605093407053699;0.670955882352932;0.607843137254902;0.310431854442136;13.5;6.04973345523196;12.8827777777778;0.0505555555555546;-0.0999999999999996;0.00947874395454384;0.350009727284531
Garonne_2011;Garonne;2011-04-05;2011;0.817745006876066;0.435643564356436;0.521488514814939;0.612674876434615;0.66911764705882;0.637254901960784;0.329638372650709;13.7;6.11368217983223;12.9330555555556;0.0502777777777776;0.199999999999999;0.0639487246002739;0.383814549778411
Garonne_2011;Garonne;2011-04-06;2011;0.398831853177398;0.435643564356436;0.509815379700858;0.620214459244366;0.667279411764708;0.617647058823529;0.287851677650739;13.7;6.0591231955818;12.9830555555556;0.0500000000000007;0;-0.054558984250435;0.399165499821221
Garonne_2011;Garonne;2011-04-07;2011;0.0267012217082083;0.445544554455446;0.480387068748622;0.627754042054118;0.667279411764708;0.647058823529412;0.258590273475362;14;5.92157841964382;13.0330555555556;0.0500000000000007;0.300000000000001;-0.137544775937981;0.412344009457147
Garonne_2011;Garonne;2011-04-08;2011;0.122549206251279;0.485148514851485;0.472202022293996;0.635251738292703;0.665441176470584;0.735294117647059;0.293600219540394;15.2;5.88332238848828;13.0827777777778;0.049722222222222;1.2;-0.0382560311555373;0.423611164355055
Garonne_2011;Garonne;2011-04-09;2011;0.173173639923334;0.501650165016502;0.483801307266909;0.642791321102455;0.667279411764696;0.666666666666667;0.326205772057467;15.7;5.93753620508243;13.1327777777778;0.0499999999999989;0.5;0.0542138165941477;0.427915840575018
Garonne_2011;Garonne;2011-04-10;2011;0.193307671928778;0.514851485148515;0.473390660944856;0.650247130769875;0.663602941176472;0.656862745098039;0.289932321354139;16.1;5.88887795833288;13.1822222222222;0.0494444444444451;0.400000000000002;-0.0486582467495458;0.429815745176553
Garonne_2011;Garonne;2011-04-11;2011;0.913933788891882;0.498349834983498;0.466157710536343;0.657744827008461;0.665441176470584;0.568627450980392;0.295169320712528;15.6;5.85507192220243;13.2319444444444;0.049722222222222;-0.500000000000002;-0.0338060361304535;0.431591246915884
Garonne_2011;Garonne;2011-04-12;2011;0.231190185761079;0.498349834983498;0.45739811964221;0.665158750104716;0.661764705882348;0.617647058823529;0.292653342009338;15.6;5.81413053182507;13.2811111111111;0.0491666666666664;0;-0.0409413903773608;0.429818922729189
Garonne_2011;Garonne;2011-04-13;2011;0.22989465133287;0.485148514851485;0.450914156566311;0.672572673200972;0.661764705882348;0.57843137254902;0.296403688722264;15.2;5.78382518232974;13.3302777777778;0.0491666666666664;-0.4;-0.0303053494953289;0.437389515421417
Garonne_2011;Garonne;2011-04-14;2011;0.471881124889478;0.471947194719472;0.438723583311676;0.679944709726062;0.659926470588236;0.57843137254902;0.286998914112686;14.8;5.7268477475872;13.3791666666667;0.0488888888888894;-0.399999999999999;-0.0569774347425405;0.44439901582767
